,Direction
2024-02-25 20:11:55,Straight
2024-02-25 20:11:56,Straight
2024-02-25 20:11:57,Straight
2024-02-25 20:11:58,Right
2024-02-25 20:11:59,Left
2024-02-25 20:12:00,Right
2024-02-25 20:12:01,Straight
2024-02-25 20:12:02,Straight
2024-02-25 20:12:03,Straight
2024-02-25 20:12:04,Left
2024-02-25 20:12:05,Straight
2024-02-25 20:12:06,Left
2024-02-25 20:12:07,Left
2024-02-25 20:12:08,Straight
2024-02-25 20:12:09,Straight
2024-02-25 20:12:10,Right
2024-02-25 20:12:11,Straight
2024-02-25 20:12:12,Left
2024-02-25 20:12:13,Straight
2024-02-25 20:12:14,Straight
2024-02-25 20:12:15,Straight
2024-02-25 20:12:16,Left
2024-02-25 20:12:17,Right
2024-02-25 20:12:18,Right
2024-02-25 20:12:19,Straight
2024-02-25 20:12:20,Straight
2024-02-25 20:12:21,Left
2024-02-25 20:12:22,Straight
2024-02-25 20:12:23,Straight
2024-02-25 20:12:24,Straight
2024-02-25 20:12:25,Straight
2024-02-25 20:12:26,Straight
2024-02-25 20:12:27,Straight
2024-02-25 20:12:28,Straight
2024-02-25 20:12:29,Straight
2024-02-25 20:12:30,Left
2024-02-25 20:12:31,Straight
2024-02-25 20:12:32,Straight
2024-02-25 20:12:33,Straight
2024-02-25 20:12:34,Straight
2024-02-25 20:12:35,Left
2024-02-25 20:12:36,Straight
2024-02-25 20:12:37,Straight
2024-02-25 20:12:38,Straight
2024-02-25 20:12:39,Straight
2024-02-25 20:12:40,Straight
2024-02-25 20:12:41,Straight
2024-02-25 20:12:42,Left
2024-02-25 20:12:43,Left
2024-02-25 20:12:44,Straight
2024-02-25 20:12:45,Straight
2024-02-25 20:12:46,Straight
2024-02-25 20:12:47,Left
2024-02-25 20:12:48,Straight
2024-02-25 20:12:49,Straight
2024-02-25 20:12:50,Straight
2024-02-25 20:12:51,Straight
2024-02-25 20:12:52,Straight
2024-02-25 20:12:53,Straight
2024-02-25 20:12:54,Left
2024-02-25 20:12:55,Straight
2024-02-25 20:12:56,Straight
2024-02-25 20:12:57,Straight
2024-02-25 20:12:58,Straight
2024-02-25 20:12:59,Straight
2024-02-25 20:13:00,Straight
2024-02-25 20:13:01,Left
2024-02-25 20:13:02,Straight
2024-02-25 20:13:03,Left
2024-02-25 20:13:04,Left
2024-02-25 20:13:05,Straight
2024-02-25 20:13:06,Straight
2024-02-25 20:13:07,Straight
2024-02-25 20:13:08,Straight
2024-02-25 20:13:09,Straight
2024-02-25 20:13:10,Left
2024-02-25 20:13:11,Straight
2024-02-25 20:13:12,Straight
2024-02-25 20:13:13,Left
2024-02-25 20:13:14,Straight
2024-02-25 20:13:15,Straight
2024-02-25 20:13:16,Straight
